Designator,Mid X,Mid Y,Rotation,Layer
R118,181.8,-111.0,270.0,top
R119,145.45,-46.95,180.0,bottom
R12,195.8125,-74.95,90.0,top
R120,145.45,-48.65,180.0,bottom
R121,145.4625,-45.25,0.0,bottom
R122,145.4625,-43.55,180.0,bottom
R123,140.65,-54.25,180.0,bottom
R124,140.65,-55.95,180.0,bottom
R125,176.8875,-107.4,270.0,bottom
R126,181.1,-52.2,180.0,bottom
R127,184.8,-52.2,180.0,bottom
R128,181.2,-49.8,180.0,bottom
R129,184.8,-49.8,180.0,bottom
R13,197.4225,-74.95,90.0,top
R130,181.1,-53.8,180.0,bottom
R131,184.8,-53.8,180.0,bottom
R132,181.2,-48.2,180.0,bottom
R133,184.8,-48.2,180.0,bottom
R134,173.225,-51.7375,0.0,bottom
R135,150.61,-114.2,180.0,top
R136,150.6,-112.6,180.0,top
R137,170.55,-73.3,270.0,bottom
R139,171.95,-85.2125,270.0,bottom
R14,220.3,-91.2,0.0,top
R140,177.75,-86.6,270.0,bottom
R141,175.15,-85.8,270.0,bottom
R142,173.55,-85.8,270.0,bottom
R15,220.3,-92.8,0.0,top
R16,220.3,-94.4,0.0,top
R17,194.9,-87.9,270.0,top
R18,191.6,-87.9,270.0,top
R19,143.3,-124.8,90.0,top
R20,141.6,-124.8,270.0,top
R21,171.1875,-103.465,0.0,top
R22,171.2,-101.9,180.0,top
R23,193.97,-123.1,180.0,top
R24,200.9,-123.1,0.0,top
R25,206.1475,-119.66,180.0,top
R26,203.85,-108.5975,90.0,top
R27,206.1475,-118.09,180.0,top
R28,220.077224,-103.417776,0.0,top
R29,213.57,-124.57,0.0,top
R3,167.35,-73.3,270.0,bottom
R30,213.57,-122.77,0.0,top
R31,189.4,-64.3,0.0,top
R32,189.4,-51.2,0.0,top
R33,189.4,-58.2,0.0,top
R34,189.4,-59.8,0.0,top
R35,189.4,-65.9,0.0,top
R36,189.4,-52.9,0.0,top
R37,181.6075,-53.775,0.0,top
R38,181.6,-58.9,0.0,top
R39,181.6,-64.9,0.0,top
R4,168.95,-73.3,90.0,bottom
R40,181.625,-52.1025,180.0,top
R41,181.6,-60.6,180.0,top
R42,181.6,-66.8,180.0,top
R43,153.8,-106.6,180.0,top
R44,153.8,-104.9,180.0,top
R45,155.2,-102.3,90.0,top
R46,153.8,-108.2,180.0,top
R47,141.5,-105.8,180.0,top
R48,137.3,-97.5,90.0,top
R49,142.8,-100.2,180.0,top
R5,179.025,-72.05,180.0,top
R50,140.7,-97.5,270.0,top
